clave,nombre
02VDA-115,Vega de Alatorre
02VED-115,La Venta Dos
02VEN-69,Venta
02VFD-115,Villa Flores Dos
02VGS-115,Las Vigas Dos
02VHC-115,Villahermosa Centro
02VID-115,Villahermosa Dos
02VIP-115,Villahermosa poniente
02VIS-115,Vistamar
02VIU-115,Villahermosa Uno
02VMN-230,La Venta Maniobras
02VRU-115,Veracruz Uno
02VSE-115,Valsequillo
02VTB-115,Vidriera de Tierra Blanca
02VWG-115,Volkswagen
02XCH-85,Xochicalco
02XIP-85,Xicotepec
02XIT-115,Xicotencatl
02YCP-230,Yecapixtla
02YOL-115,Yolomecatl
02ZAP-85,Zapata
02ZGL-115,Zongolica
02ZHD-115,Zihuatanejo Dos
02ZIH-115,Zihuatanejo
02ZIP-115,Zinacatepec
02ZNT-115,Zanatepec
02ZOP-115,El Zopo
02ZPD-115,Zapata Dos
02ZTP-115,Zacatepec
02ZXP-115,Zacapoaxtla
03ABL-115,Arboledas
03ABO-115,El Arbolito
03ABS-115,Abasolo
03ABT-115,Abastos
03ACC-69,Aceros Corey
03ACE-115,Aceros San Luis
03ACP-115,Acaponeta
03ACR-115,Aceleran
03ACU-69,Acueducto
03ADE-115,San Andres
03ADR-69,Ario de Rosales
03ADS-69,Andares
03AER-115,Aeropuerto
03AET-115,Aerotech
03AEZ-115,Aeropuerto Zacatecas
03AGM-115,Aguamilpa
03AGM-400,Aguamilpa
03AGN-115,Aguascalientes Norte
03AGO-115,Agostaderito
03AGP-115,Aguascalientes Poniente
03AGS-115,Aguascalientes
03AGZ-230,Agua Azul
03AHN-115,Ahuacatlan
03AIA-115,Armeria
03AIL-115,Agroindustrial
03AIS-115,Alfa Nissan
03ALA-69,Alameda
03ALF-115,Nissan Mexicana
03ALK-69,Alcan
03ALM-115,Alumicaste
03ALM-69,Almeira
03ALS-230,Alamos
03ALU-115,Aluprint
03AMB-115,Amistad Bajio
03AMK-115,Ameca
03AMT-69,Amatitan
03AMX-69,Almex
03ANN-115,"Antunez, Micoacan."
03APA-115,Apa Subestacion SLP
03APO-115,Apaseo Oriente
03APP-115,Apasco Particular
03APR-230,Agua Prieta
03APS-115,Apaseo
03APT-115,Aguascalientes Potencia
03APZ-115,Apatzingan uno
03AQM-115,Acambaro
03ARA-115,Arancia
03ARD-115,Angamacutiro Dos
03ARL-115,Aeroespacial
03ARS-115,Arandas
03ART-115,Ahresty Mexicana
03ASM-115,Asmoles
03ASS-115,Aguascalientes Sur
03ASU-115,Asuncion
03ATE-115,Atenquique
03ATO-115,Atotonilco
03ATV-115,Arteva Dos
03AUD-115,Acueducto Dos
03AUT-115,Autlan
03AVE-115,Agave
03AVN-115,Avente
03AVT-115,Avantec
03AXL-115,Ameri Axle & Manufacturas de Mexico
03AYA-115,Ayala
03AYL-115,Arrayanal
03AYN-115,Ayotlan
03AYU-115,Ayuntamiento
03AZA-115,Alzada
03AZF-115,Los Azufres
03AZS-115,Azufres Switcheo
03BAN-115,Banderas
03BCD-115,Barracuda
03BCT-115,Bicentenario
03BFM-230,Bufa Maniobras
03BLA-115,Bolaños
03BNA-115,Buenavista
03BNL-115,Bonlam
03BOC-115,Bocas
03BOL-115,Min y Minas Mexicana
03BON-115,Banon
03BOQ-115,Boquilla
03BOS-115,Robert Bosch Mexico Sistemas Automotrices
03BRC-115,La Barca
03BRI-115,Las Brisas
03BRN-115,Burner Syst Inter Mexico
03BUG-69,Bugambilias
03BVN-115,Buena Vista Norte
03CAB-115,Cablesa
03CAE-115,Celaya Aeropuerto
03CAG-115,Capstone Gold
03CAI-115,Calera Industrial
03CAK-115,Charcas
03CAL-115,Calera
03CAM-115,Campanario
03CBN-69,Cobano
03CBO-69,Jaguar
03CCR-115,Crucero
03CDH-115,Ciudad Hidalgo
03CDI-115,Colomos Distribucion
03CDM-115,Conductores Monterrey
03CDR-115,Castro del Rio
03CDT-115,Conductel
03CEE-115,Creel
03CEY-115,Celaya Tres
03CGM-115,CD Guzman
03CGS-115,Cieneguillas
03CHA-69,Chapala
03CHC-69,Cerro Hueco
03CHI-115,Chipilo
03CHK-115,Charkas
03CHN-115,Charapan
03CHT-115,Cihuatlan
03CHY-115,Coahuayana
03CIA-115,Capilla
03CIF-115,Cifunsa del Bajio
03CIG-69,Cigatam
03CIM-115,Cimatorio
03CJN-400,El Cajon
03CLA-115,Cocula
03CLF-115,La California
03CLJ-115,Centro Logistico Jalisco
03CLL-69,Colimilla
03CLN-230,Colon
03CLP-115,Celaya Poniente
03CLY-115,Celaya
03CME-115,Celanese Mexicana Mich
