Fecha,05AVO-115,02TVS-115,02MTT-115,05CRN-115,03KIM-115,06MEO-230,02THU-115,06VOT-115,01PHC-230,03EAT-115
3/31/2017,1929.605833,2159.370417,2087.287083,1987.69,2074.669583,1891.88125,2459.110417,1874.825417,2103.821667,2058.070417
04/01/2017,1399.990833,1600.2975,1535.730833,1427.487917,1506.202917,1395.447083,1796.91,1393.109167,1543.235417,1478.024167
04/02/2017,844.7004167,1149.485,1549.506667,890.0258333,1045.81625,942.4179167,1261.304167,943.9591667,1103.5375,1014.305417
04/03/2017,1476.60125,1558.787083,1836.52,1509.365417,1525.054583,1450.65,1724.27125,1440.025417,1558.630417,1509.484583
04/04/2017,1778.136667,1843.362083,2498.455833,1831.327917,1827.8025,1787.557917,2014.089167,1784.947083,1855.962083,1815.459167
04/05/2017,2370.890417,2474.9925,1501.70125,2413.301667,2441.326667,2346.689167,2730.394167,2354.09625,2485.04125,2422.877083
04/06/2017,1509.398333,1470.364167,1382.950417,1516.025833,1480.53875,1456.259583,1607.61625,1459.999583,1487.839583,1485.091667
04/07/2017,1397.507917,1340.53625,1382.554583,1401.54,1359.329167,1348.569167,1464.459167,1350.449583,1370.0175,1367.765
04/08/2017,1321.82,1340.192083,1014.416667,1337.885417,1346.184583,1313.339583,1469.967083,1306.45875,1362.15875,1359.40625
04/09/2017,821.6204167,980.99875,1456.687917,884.0404167,953.94,853.5404167,1100.590417,848.5979167,980.9833333,933.9633333
04/10/2017,1417.508333,1443.344583,1574.993333,1455.8275,1437.63125,1376.770833,1614.424167,1375.360833,1453.298333,1433.809583
04/11/2017,1553.525833,1561.08875,1489.230833,1569.839583,1548.812917,1485.777083,1711.63125,1482.267917,1561.847917,1539.119167
04/12/2017,1485.622083,1450.4875,982.85125,1490.112083,1456.874167,1403.570417,1606.232083,1403.791667,1469.472917,1449.925833
4/13/2017,948.8425,967.78,1117.11625,960.4395833,959.2470833,910.12,1066.772917,910.645,976.5775,951.7179167
4/14/2017,947.9004167,1100.989583,1565.752083,1025.19,1084.304167,1001.906667,1215.758333,1005.024583,1110.25375,1075.012917
4/15/2017,1465.32875,1556.407917,1176.11,1522.046667,1550.375,1462.088333,1693.93,1469.049167,1579.329167,1543.615417
4/16/2017,1036.880833,1164.586667,1806.58,1115.246667,1146.62875,1075.169583,1291.753333,1078.235417,1174.630833,1143.964583
4/17/2017,1805.177083,1830.678333,1565.467917,1858.205417,1800.239583,1789.128333,2005.525417,1783.614167,1824.191667,1813.27625
4/18/2017,1528.3375,1568.432083,1577.740417,1586.714167,1562.401667,1506.240417,1723.785,1498.317917,1577.933333,1562.126667
4/19/2017,1686.820833,1560.53625,1452.801667,1680.32875,1579.245833,1575.516667,1706.7075,1567.455417,1594.887083,1586.97
4/20/2017,1540.55375,1432.08375,1640.636667,1527.05,1450.642083,1442.975833,1591.083333,1437.030833,1463.744583,1457.825833
4/21/2017,1715.160833,1625.780417,1706.235833,1701.159583,1627.655833,1632.1575,1825.379167,1628.560833,1646.425833,1631.707083
